rate,arch,pool_open,pool_idle,achieved_mean,achieved_min,achieved_max,p99_mean_ms,p99_min_ms,p99_max_ms,db_throttle_mean_pct,db_throttle_min_pct,db_throttle_max_pct,api_throttle_mean_pct,pool_wait_ms_per_iter_mean,new_db_sessions_mean,procarray_max_mean,collapse_or_saturated_runs,reps,source_session
640,rest,20,20,640.0018666666666,640.0,640.0056,2.477133333333333,2.3894,2.5265,0.0,0.0,0.0,0.7200000000000001,0.0016967537272619467,0.3333333333333333,0.0,0,3,exp_de_20260916_1154
640,rest,50,50,640.0037333333333,640.0,640.0056,2.7297333333333333,2.5773,2.8121,0.35000000000000003,0.27999999999999997,0.44,1.1300000000000001,0.1944319675672167,44.333333333333336,0.0,0,3,exp_de_20260916_1154
640,rest,100,100,640.0056,640.0056,640.0056,3.025766666666667,2.4566,4.1355,0.4066666666666667,0.0,1.05,1.3466666666666667,0.8375106115969633,41.0,0.0,0,3,exp_de_20260916_1154
640,rest,500,100,615.0926,565.2722,640.0056,405.6774666666666,2.601,1211.7377,33.24,0.0,99.72,9.31,160.07978627458235,2722.6666666666665,91.0,1,3,exp_de_20260916_1154
640,rest,500,500,555.9444333333333,534.6833,580.8833,988.5541,873.3147,1074.9532,57.949999999999996,45.65,64.95,14.42,362.01344597840813,494.6666666666667,137.33333333333334,3,3,exp_de_20260916_1154
640,graphql,20,20,640.0074333333333,640.0056,640.0111,8.3865,6.8719,9.9421,0.07666666666666666,0.0,0.16999999999999998,43.03666666666667,0.6987815742799336,0.0,0.0,0,3,exp_de_20260916_1154
640,graphql,50,50,640.0037333333333,640.0,640.0056,6.306466666666666,5.2496,8.1463,0.02,0.0,0.06,44.07333333333333,0.009400670400745685,0.0,0.0,0,3,exp_de_20260916_1154
640,graphql,100,100,640.0037333333333,640.0,640.0056,7.2066333333333334,5.9892,9.3716,0.0,0.0,0.0,55.03666666666666,0.0,0.3333333333333333,0.0,0,3,exp_de_20260916_1154
640,graphql,500,100,605.4426,575.5389,640.0,705.8420666666667,31.107,1194.0431,65.06666666666668,0.22,98.57000000000001,74.50666666666667,297.66992901993984,4809.666666666667,214.33333333333334,2,3,exp_de_20260916_1154
640,graphql,500,500,639.0222666666667,637.0556,640.0056,142.77393333333333,31.1361,217.6017,6.28,5.04,7.03,81.23,3.344042954220614,0.3333333333333333,0.3333333333333333,0,3,exp_de_20260916_1154
640,grpc,20,20,640.0018666666666,640.0,640.0056,4.1649,3.8766,4.6143,0.056666666666666664,0.0,0.16999999999999998,36.306666666666665,0.8305002582319708,13.333333333333334,0.0,0,3,exp_de_20260916_1154
640,grpc,50,50,640.0056,640.0056,640.0056,3.8427333333333333,3.351,4.1093,0.29333333333333333,0.22,0.33,39.696666666666665,0.17165040778115415,43.666666666666664,0.0,0,3,exp_de_20260916_1154
640,grpc,100,100,640.0037333333333,640.0,640.0056,9.163666666666666,3.5867,17.6387,0.8133333333333334,0.0,1.72,43.56333333333333,2.869514734040637,62.0,0.0,0,3,exp_de_20260916_1154
640,grpc,500,100,614.2963,601.1,640.0056,660.1600666666667,5.5882,989.452,66.11666666666666,0.06,99.67,37.03,261.7887976842466,6707.333333333333,258.0,2,3,exp_de_20260916_1154
640,grpc,500,500,615.8314666666666,604.0833,624.5111,457.7843666666667,398.8601,498.1283,12.283333333333331,9.89,14.069999999999999,46.403333333333336,60.87506692415193,493.6666666666667,115.33333333333333,3,3,exp_de_20260916_1154
800,rest,20,20,800.0111333333334,800.0,800.0167,41.0773,32.7077,46.1579,0.0,0.0,0.0,99.5,4.264929323927099,0.6666666666666666,0.0,0,3,exp_de_20260916_1154
800,rest,50,50,800.0111333333334,800.0,800.0167,27.04303333333333,22.7624,30.7212,0.056666666666666664,0.0,0.16999999999999998,99.06,0.005130519633909586,0.0,0.0,0,3,exp_de_20260916_1154
800,rest,100,100,800.0055666666667,799.9833,800.0167,56.5966,31.6833,106.3733,6.676666666666666,0.0,19.7,96.08999999999999,6.399374746385502,21.333333333333332,0.0,0,3,exp_de_20260916_1154
800,rest,500,100,570.0389,540.4167,605.7833,1888.6657333333333,1525.571,2100.56,98.86000000000001,98.37,99.68,29.746666666666666,638.929959473579,1866.0,196.0,3,3,exp_de_20260916_1154
800,rest,500,500,642.9611,572.8667,690.5333,1241.7341,901.7477,1827.7167,91.27666666666666,88.25,93.69,49.64333333333334,372.1884662736813,167.0,60.666666666666664,3,3,exp_de_20260916_1154
800,graphql,20,20,784.5444333333334,776.9167,795.1833,654.8181333333333,605.4962,680.2562,2.46,0.49,5.74,99.62666666666667,1111.6585264717557,13.333333333333334,0.0,2,3,exp_de_20260916_1154
800,graphql,50,50,799.9833333333332,799.9333,800.0167,195.03686666666667,115.4069,299.5976,15.726666666666667,7.04,24.0,98.47000000000001,167.97983298059475,44.333333333333336,0.0,0,3,exp_de_20260916_1154
800,graphql,100,100,766.3222333333333,758.1667,772.3833,604.4106666666667,599.4527,614.2519,14.020000000000001,11.78,15.22,98.10000000000001,959.4918304127465,61.666666666666664,0.3333333333333333,3,3,exp_de_20260916_1154
