block,condition,pool,arch,light,rate,achieved_mean,achieved_min,achieved_max,achieved_ratio_mean_pct,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,api_cpu_mean_pct,api_cap_share_mean_pct,db_cpu_mean_pct,db_throttle_mean_pct,reps,source_session
보정 조건,REST (19쿼리),50:50,rest,0,800,800.0167,800.0167,800.0167,100.00208749999999,0.5793666666666667,6.8547666666666665,38.612033333333336,30.402,51.9869,198.49916666666664,97.77777777777777,128.4836,1.11,3,exp_de_caph2_20260918_1436
보정 조건,REST (19쿼리),50:50,rest,0,900,900.0111333333334,900.0,900.0167,100.00123703703704,1.343,25.468266666666665,57.7866,55.1735,62.7509,197.96790000000001,96.11111111111113,146.22403333333332,0.6133333333333334,3,exp_de_caph2_20260918_1436
보정 조건,REST (19쿼리),50:50,rest,0,1000,1000.0278,1000.0167,1000.05,100.00278,4.1584666666666665,86.26253333333334,140.02226666666667,114.7468,187.6717,198.21516666666665,95.0,161.9572,1.7733333333333334,3,exp_de_caph2_20260918_1436
보정 조건,REST (19쿼리),50:50,rest,0,1100,1035.4833333333333,1024.5,1048.2833,94.13484848484849,73.6157,399.93059999999997,518.0021333333333,511.7126,526.0901,197.6484,93.88888888888887,143.20243333333335,3.3866666666666667,3,exp_de_caph2_20260918_1436
보정 조건,gRPC (19쿼리),50:50,grpc,0,800,799.6889000000001,799.0333,800.0167,99.96111250000001,1.1819333333333333,37.35633333333333,146.2691,114.014,170.1096,196.61933333333332,95.0,129.7277,3.0,3,exp_de_caph2_20260918_1436
보정 조건,gRPC (19쿼리),50:50,grpc,0,900,900.0055666666667,900.0,900.0167,100.00061851851851,1.8716666666666668,37.18933333333333,69.3913,65.2591,76.3866,197.98253333333332,95.55555555555556,148.63743333333335,11.846666666666666,3,exp_de_caph2_20260918_1436
보정 조건,gRPC (19쿼리),50:50,grpc,0,1000,992.4,990.8333,994.9667,99.24,3.6206666666666667,86.07600000000001,243.60913333333335,181.167,275.7517,197.57489999999999,94.44444444444444,162.4197,28.606666666666666,3,exp_de_caph2_20260918_1436
보정 조건,gRPC (19쿼리),50:50,grpc,0,1100,1019.4722,995.1833,1046.1333,92.67929090909092,77.35073333333334,395.1746,530.8312666666667,500.0203,578.4496,198.77859999999998,93.88888888888887,142.26886666666667,14.066666666666668,3,exp_de_caph2_20260918_1436
보정 조건,GraphQL light (19쿼리),50:50,graphql,1,800,800.0055666666667,800.0,800.0167,100.00069583333332,0.9755666666666666,13.195966666666669,41.174299999999995,39.1364,42.1982,197.69466666666665,97.77777777777777,123.49380000000001,0.22,3,exp_de_caph2_20260918_1436
보정 조건,GraphQL light (19쿼리),50:50,graphql,1,900,900.0055666666667,900.0,900.0167,100.00061851851851,2.9372333333333334,72.67926666666666,165.6644,70.9546,220.0695,196.32036666666667,95.0,141.96036666666666,10.66,3,exp_de_caph2_20260918_1436
보정 조건,GraphQL light (19쿼리),50:50,graphql,1,1000,939.8333666666667,934.3167,944.5667,93.98333666666667,87.44096666666667,487.6901666666667,611.2012333333333,607.7711,615.152,197.9923666666667,93.33333333333333,130.52276666666668,9.396666666666667,3,exp_de_caph2_20260918_1436
보정 조건,GraphQL light (19쿼리),50:50,graphql,1,1100,944.4110999999999,923.5333,956.7,85.85555454545454,88.17536666666666,492.0380666666667,630.9938666666667,611.3152,669.8737,199.22343333333333,93.33333333333333,129.7302,9.003333333333332,3,exp_de_caph2_20260918_1436
보정 조건,GraphQL 기존 (24쿼리),50:50,graphql,0,800,800.0,800.0,800.0,100.0,3.544066666666667,76.4616,104.72766666666666,80.891,125.6103,196.90723333333335,94.44444444444444,153.04913333333332,17.923333333333332,3,exp_de_caph2_20260918_1436
보정 조건,GraphQL 기존 (24쿼리),50:50,graphql,0,900,833.8333333333334,822.05,840.4167,92.64814814814815,97.41860000000001,483.1682,598.7175333333333,594.9876,603.6805,197.42283333333333,94.44444444444444,141.09766666666667,13.153333333333334,3,exp_de_caph2_20260918_1436
보정 조건,GraphQL 기존 (24쿼리),50:50,graphql,0,1000,835.6777666666667,830.5,842.7,83.56777666666667,98.53309999999999,487.40259999999995,601.1881,598.4322,603.4108,199.13196666666667,94.44444444444444,139.7254,13.92,3,exp_de_caph2_20260918_1436
보정 조건,GraphQL 기존 (24쿼리),50:50,graphql,0,1100,838.8389000000001,831.9,852.5,76.25808181818182,98.96266666666668,487.5534666666667,603.0699333333333,599.8436,605.3562,198.38616666666667,94.44444444444444,138.62216666666666,12.876666666666667,3,exp_de_caph2_20260918_1436
보정 전,REST,20:20,rest,0,800,800.0111333333334,800.0,800.0167,100.00139166666668,0.8354666666666667,10.926166666666667,41.0773,32.7077,46.1579,198.67926666666668,97.77777777777777,127.11796666666667,0.0,3,exp_de_20260916_1154
보정 전,REST,20:20,rest,0,900,900.0222333333332,900.0,900.0667,100.00247037037036,5.831600000000001,104.55930000000001,183.12096666666665,171.682,190.8536,198.0665333333333,96.66666666666667,141.7274,1.4400000000000002,3,exp_de_cap_20260918_0345
보정 전,REST,20:20,rest,0,1000,966.8833333333333,958.3667,973.2,96.68833333333333,67.93283333333333,479.965,609.3517666666667,605.4688,613.718,198.07006666666666,97.77777777777777,134.4022666666667,0.6533333333333333,3,exp_de_cap_20260918_0345
보정 전,REST,20:20,rest,0,1100,965.4833333333332,963.8833,967.55,87.77121212121212,70.6555,487.267,616.3345,614.6076,618.315,197.99703333333332,97.22222222222223,133.99436666666668,0.5466666666666666,3,exp_de_cap_20260918_0345
보정 전,REST,20:20,rest,0,1200,968.6111000000001,948.4167,984.6333,80.71759166666668,70.8938,487.2456666666667,635.9694,612.0934,679.6351,200.09336666666664,97.22222222222223,135.71220000000002,1.2566666666666666,3,exp_de_cap_20260918_0345
보정 전,GraphQL,20:20,graphql,0,800,784.5444333333334,776.9167,795.1833,98.06805416666667,93.762,498.6984666666667,654.8181333333333,605.4962,680.2562,199.21326666666667,98.33333333333333,137.2605333333333,2.46,3,exp_de_20260916_1154
보정 전,GraphQL,20:20,graphql,0,900,787.2722333333335,781.5333,795.9167,87.4746925925926,96.98790000000001,508.12646666666666,686.7656666666667,682.2149,689.3772,197.92759999999998,95.0,134.8039,0.5466666666666667,3,exp_de_cap_20260918_0345
보정 전,GraphQL,20:20,graphql,0,1000,777.3944333333334,763.85,785.2833,77.73944333333334,97.76013333333333,514.9078000000001,697.2815666666667,688.7767,712.921,199.18296666666666,98.88888888888887,134.47263333333333,0.16333333333333333,3,exp_de_cap_20260918_0345
보정 전,GraphQL,20:20,graphql,0,1100,779.6,772.1333,791.55,70.87272727272727,98.18756666666667,513.2557333333334,692.6423,687.4272,696.0227,197.72026666666667,97.77777777777777,133.32013333333336,0.21333333333333335,3,exp_de_cap_20260918_0345
보정 전,GraphQL,20:20,graphql,0,1200,780.2444333333333,774.4167,788.9833,65.02036944444444,98.28153333333334,514.9911666666667,697.0684333333334,691.312,704.9215,197.1852,96.1111111111111,133.2992,0.3833333333333333,3,exp_de_cap_20260918_0345
보정 전,gRPC,20:20,grpc,0,800,800.0222333333335,800.0167,800.0333,100.00277916666668,1.3937333333333335,26.421566666666667,68.69,58.7485,88.4468,198.97893333333332,97.77777777777777,129.2031,0.8366666666666666,3,exp_de_20260916_1154
보정 전,gRPC,20:20,grpc,0,900,898.3333666666667,896.4667,900.0167,99.81481851851852,2.970166666666667,80.2204,212.01533333333336,195.7888,221.847,196.6618,95.0,142.62153333333333,4.056666666666667,3,exp_de_cap_20260918_0345
